Module -- Status
places -- Enabled 
systray -- Enabled 
tasks -- Enabled 
clipboard -- Enabled 
battery -- Enabled 
gadman -- Enabled 
mixer -- Enabled 
conf_window_remembers -- Enabled 
conf_interaction -- Enabled 
fileman -- Enabled 
conf_window_manipulation -- Enabled 
conf_theme -- Enabled 
conf_shelves -- Enabled 
conf_performance -- Enabled 
conf_edgebindings -- Enabled 
conf_paths -- Enabled 
conf_menus -- Enabled 
conf_keybindings -- Enabled 
conf_intl -- Enabled 
conf_display -- Enabled 
conf_dialogs -- Enabled 
conf_applications -- Enabled 
conf -- Enabled 
winlist -- Enabled 
pager -- Enabled 
clock -- Enabled 
ibar -- Enabled 
start -- Enabled 
syscon -- Enabled 
notification -- Enabled 
shot -- Enabled 
everything -- Enabled 

